address_neighborhood,pricingInfos_price,predict_price,variacao
Jardim Jua,420000.0,0.0,-1.0
Jardim Julieta,171500.0,272515.41722418496,0.5890111791497665
Jardim Jussara,392000.0,289684.4438050759,-0.2610090719258268
Jardim Juá,378000.0,0.0,-1.0
Jardim Labitary,280000.0,0.0,-1.0
Jardim Lageado,140000.0,0.0,-1.0
Jardim Lajeado,133000.0,0.0,-1.0
Jardim Lallo,217000.0,0.0,-1.0
Jardim Laone,198100.0,0.0,-1.0
Jardim Laura,59534.0,0.0,-1.0
Jardim Leonidas Moreira,118999.0,0.0,-1.0
Jardim Leonor,1046499.5,461404.56776867167,-0.5590971923362871
Jardim Leonor Mendes de Barros,549500.0,310616.11796753854,-0.4347295396405122
Jardim Leônidas Moreira I,132615.0,0.0,-1.0
Jardim Libano,332500.0,282541.30208394537,-0.15025172305580337
Jardim Lider,208249.5,0.0,-1.0
Jardim Liderança,294000.0,0.0,-1.0
Jardim Lidia,154000.0,0.0,-1.0
Jardim Lisboa,287000.0,0.0,-1.0
Jardim Londrina,427000.0,391762.7153251316,-0.0825229149294342
Jardim Los Angeles,1225000.0,0.0,-1.0
Jardim Lourdes,154000.0,0.0,-1.0
Jardim Luanda,371000.0,336614.2728613883,-0.09268390064315823
